Date,srad,tmmx,tmmn,Vpar,tdew,rmax,rmin,vs,Rain,ETref,MorP
2025-07-03,22.20762456,32.44444444444445,15.238888888888889,,10.050000000000002,82.5,23.64,1.922272,0.0,5.842,P
2025-07-04,17.77882752,25.91111111111111,14.394444444444444,,12.372222222222225,87.7,43.25,3.196336,0.0,4.571999999999999,P
2025-07-05,28.68083604,25.972222222222225,12.305555555555555,,7.650000000000002,78.29,32.62,3.6836096,0.0,6.604,P
2025-07-06,29.13970932,28.444444444444446,6.5388888888888905,,6.1388888888888875,89.8,27.2,2.2620223999999998,0.0,6.095999999999999,P
2025-07-07,29.19413772,32.611111111111114,5.46111111111111,,7.194444444444446,92.4,20.51,1.4707616,0.0,6.095999999999999,P
2025-07-08,26.139448440000002,36.88888888888889,6.5388888888888905,,7.0388888888888905,92.0,11.23,0.9477248,0.0,5.842,P
2025-07-09,28.96386372,34.72222222222222,9.61111111111111,,5.061111111111111,66.06,15.16,2.8118816,0.0,7.874,P
2025-07-10,29.36872728,28.944444444444443,20.777777777777782,,4.649999999999999,33.6,19.8,8.5563456,0.0,11.176,P
2025-07-11,28.994846040000002,30.388888888888893,14.105555555555556,,7.988888888888891,63.24,25.62,3.509264,0.0,7.365999999999999,P
2025-07-12,29.59983864,31.777777777777782,6.894444444444443,,5.255555555555556,88.7,15.24,3.3393888,0.0,7.619999999999999,P
2025-07-13,29.242285920000004,34.5,7.183333333333334,,6.361111111111113,82.4,18.08,2.3737823999999996,0.0,7.365999999999999,P
2025-07-14,28.04025564,34.611111111111114,8.894444444444444,,7.261111111111112,82.1,18.34,3.0443423999999997,0.0,7.619999999999999,P
2025-07-15,19.305753480000003,34.111111111111114,9.849999999999998,,7.994444444444445,85.2,22.59,3.3662112,0.0,6.858,P
2025-07-16,28.201866120000002,31.166666666666664,13.016666666666667,,6.905555555555556,77.39,20.71,2.972816,0.0,7.112,P
2025-07-17,26.984763360000002,35.66666666666667,8.844444444444445,,7.066666666666666,84.5,16.76,1.8820384,0.0,6.858,P
2025-07-18,21.54820356,34.22222222222222,11.216666666666667,,8.877777777777776,80.1,18.53,2.5660096,0.0,6.604,P
2025-07-19,24.239059920000003,31.555555555555557,10.616666666666667,,6.377777777777776,78.67,18.88,3.1516319999999998,0.0,6.858,P
2025-07-20,27.894555,33.16666666666667,8.16111111111111,,7.222222222222222,86.9,20.67,1.9401536,0.0,6.604,P
2025-07-21,20.2724856,30.111111111111114,8.194444444444445,,8.066666666666668,87.9,27.49,3.218688,0.0,5.842,P
2025-07-22,28.553557320000003,29.277777777777782,10.705555555555557,,6.772222222222221,70.42,25.04,2.861056,0.0,6.604,P
2025-07-23,27.856455120000003,31.166666666666664,11.588888888888889,,5.966666666666668,70.53,20.37,2.5615392000000003,0.0,6.858,P
2025-07-24,21.654548280000004,33.277777777777786,8.038888888888888,,4.200000000000001,82.0,15.26,2.5883616,0.0,6.604,P
2025-07-25,23.145467760000002,34.5,5.055555555555556,,1.3611111111111127,87.4,8.72,1.7792192,0.0,6.095999999999999,P
2025-07-26,17.361822240000002,33.333333333333336,5.805555555555557,,0.4944444444444448,73.31,9.08,1.4797024,0.0,5.08,P
